name,sellingDate,size,resellPrice
"Monday, October 16, 2017",$588,adidas Yeezy Boost 350 V2 Zebra,8.5
"Monday, October 16, 2017",$610,adidas Yeezy Boost 350 V2 Zebra,9
"Monday, October 16, 2017",$743,adidas Yeezy Boost 350 V2 Zebra,6
"Monday, October 16, 2017",$620,adidas Yeezy Boost 350 V2 Zebra,7.5
"Monday, October 16, 2017",$636,adidas Yeezy Boost 350 V2 Zebra,11.5
"Monday, October 16, 2017",$640,adidas Yeezy Boost 350 V2 Zebra,10
"Monday, October 16, 2017",$772,adidas Yeezy Boost 350 V2 Zebra,4
"Monday, October 16, 2017",$555,adidas Yeezy Boost 350 V2 Zebra,8
"Monday, October 16, 2017",$650,adidas Yeezy Boost 350 V2 Zebra,13
"Monday, October 16, 2017",$665,adidas Yeezy Boost 350 V2 Zebra,11.5
"Monday, October 16, 2017",$585,adidas Yeezy Boost 350 V2 Zebra,10.5
"Monday, October 16, 2017",$579,adidas Yeezy Boost 350 V2 Zebra,4
"Monday, October 16, 2017",$542,adidas Yeezy Boost 350 V2 Zebra,9
"Monday, October 16, 2017",$628,adidas Yeezy Boost 350 V2 Zebra,13
"Monday, October 16, 2017",$520,adidas Yeezy Boost 350 V2 Zebra,8
"Monday, October 16, 2017",$628,adidas Yeezy Boost 350 V2 Zebra,12
"Monday, October 16, 2017",$550,adidas Yeezy Boost 350 V2 Zebra,8.5
"Monday, October 16, 2017",$565,adidas Yeezy Boost 350 V2 Zebra,9.5
"Monday, October 16, 2017",$605,adidas Yeezy Boost 350 V2 Zebra,11.5
"Monday, October 16, 2017",$625,adidas Yeezy Boost 350 V2 Zebra,12
"Monday, October 16, 2017",$560,adidas Yeezy Boost 350 V2 Zebra,9.5
"Monday, October 16, 2017",$736,adidas Yeezy Boost 350 V2 Zebra,5
"Monday, October 16, 2017",$565,adidas Yeezy Boost 350 V2 Zebra,8.5
"Monday, October 16, 2017",$591,adidas Yeezy Boost 350 V2 Zebra,10.5
"Monday, October 16, 2017",$675,adidas Yeezy Boost 350 V2 Zebra,11
"Monday, October 16, 2017",$647,adidas Yeezy Boost 350 V2 Zebra,10
"Monday, October 16, 2017",$670,adidas Yeezy Boost 350 V2 Zebra,12
"Monday, October 16, 2017",$640,adidas Yeezy Boost 350 V2 Zebra,10
"Monday, October 16, 2017",$683,adidas Yeezy Boost 350 V2 Zebra,13
"Monday, October 16, 2017",$638,adidas Yeezy Boost 350 V2 Zebra,11.5
"Monday, October 16, 2017",$602,adidas Yeezy Boost 350 V2 Zebra,12
"Monday, October 16, 2017",$590,adidas Yeezy Boost 350 V2 Zebra,9.5
"Monday, October 16, 2017",$566,adidas Yeezy Boost 350 V2 Zebra,14
"Monday, October 16, 2017",$577,adidas Yeezy Boost 350 V2 Zebra,10.5
"Monday, October 16, 2017",$591,adidas Yeezy Boost 350 V2 Zebra,10.5
"Monday, October 16, 2017",$645,adidas Yeezy Boost 350 V2 Zebra,13
"Monday, October 16, 2017",$565,adidas Yeezy Boost 350 V2 Zebra,9
"Monday, October 16, 2017",$723,adidas Yeezy Boost 350 V2 Zebra,5.5
