"","name","size","resellPrice","sellDate","day","date","sellMonth"
"105","adidas Yeezy Boost 350 V2 Zebra",12,665,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017"
"106","adidas Yeezy Boost 350 V2 Zebra",8,560,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017"
"107","adidas Yeezy Boost 350 V2 Zebra",8.5,556,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017"
"108","adidas Yeezy Boost 350 V2 Zebra",4.5,709,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017"
"109","adidas Yeezy Boost 350 V2 Zebra",10,630,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017"
"110","adidas Yeezy Boost 350 V2 Zebra",11,606,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017"
"111","adidas Yeezy Boost 350 V2 Zebra",12,670,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017"
"112","adidas Yeezy Boost 350 V2 Zebra",11,670,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017"
"113","adidas Yeezy Boost 350 V2 Zebra",14,530,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017"
"114","adidas Yeezy Boost 350 V2 Zebra",6,749,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017"
"115","adidas Yeezy Boost 350 V2 Zebra",10.5,583,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017"
"116","adidas Yeezy Boost 350 V2 Zebra",6,720,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017"
"117","adidas Yeezy Boost 350 V2 Zebra",9.5,640,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017"
"118","adidas Yeezy Boost 350 V2 Zebra",10.5,585,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017"
"119","adidas Yeezy Boost 350 V2 Zebra",10,630,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017"
"120","adidas Yeezy Boost 350 V2 Zebra",10.5,595,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017"
"121","adidas Yeezy Boost 350 V2 Zebra",12.5,770,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017"
"122","adidas Yeezy Boost 350 V2 Zebra",8.5,555,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017"
"123","adidas Yeezy Boost 350 V2 Zebra",7,618,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017"
"124","adidas Yeezy Boost 350 V2 Zebra",11.5,650,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017"
"125","adidas Yeezy Boost 350 V2 Zebra",9.5,600,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017"
"126","adidas Yeezy Boost 350 V2 Zebra",14,767,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017"
"127","adidas Yeezy Boost 350 V2 Zebra",6.5,665,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017"
"128","adidas Yeezy Boost 350 V2 Zebra",13,700,2017-10-16,"Monday"," October 16, 2017","Oct 2017"
"129","adidas Yeezy Boost 350 V2 Zebra",12,670,2017-10-16,"Monday"," October 16, 2017","Oct 2017"
"130","adidas Yeezy Boost 350 V2 Zebra",10.5,584,2017-10-16,"Monday"," October 16, 2017","Oct 2017"
"131","adidas Yeezy Boost 350 V2 Zebra",10.5,589,2017-10-16,"Monday"," October 16, 2017","Oct 2017"
"132","adidas Yeezy Boost 350 V2 Zebra",10.5,598,2017-10-16,"Monday"," October 16, 2017","Oct 2017"
"133","adidas Yeezy Boost 350 V2 Zebra",9,540,2017-10-16,"Monday"," October 16, 2017","Oct 2017"
"134","adidas Yeezy Boost 350 V2 Zebra",12,620,2017-10-16,"Monday"," October 16, 2017","Oct 2017"
"135","adidas Yeezy Boost 350 V2 Zebra",10,575,2017-10-16,"Monday"," October 16, 2017","Oct 2017"
"136","adidas Yeezy Boost 350 V2 Zebra",11,592,2017-10-16,"Monday"," October 16, 2017","Oct 2017"
"137","adidas Yeezy Boost 350 V2 Zebra",11,593,2017-10-16,"Monday"," October 16, 2017","Oct 2017"
"138","adidas Yeezy Boost 350 V2 Zebra",11,590,2017-10-16,"Monday"," October 16, 2017","Oct 2017"
"139","adidas Yeezy Boost 350 V2 Zebra",9.5,580,2017-10-16,"Monday"," October 16, 2017","Oct 2017"
"140","adidas Yeezy Boost 350 V2 Zebra",9.5,584,2017-10-16,"Monday"," October 16, 2017","Oct 2017"
"141","adidas Yeezy Boost 350 V2 Zebra",10,579,2017-10-16,"Monday"," October 16, 2017","Oct 2017"
"142","adidas Yeezy Boost 350 V2 Zebra",9,570,2017-10-16,"Monday"," October 16, 2017","Oct 2017"
"143","adidas Yeezy Boost 350 V2 Zebra",9,570,2017-10-16,"Monday"," October 16, 2017","Oct 2017"
"144","adidas Yeezy Boost 350 V2 Zebra",5,701,2017-10-16,"Monday"," October 16, 2017","Oct 2017"
"145","adidas Yeezy Boost 350 V2 Zebra",9,550,2017-10-16,"Monday"," October 16, 2017","Oct 2017"
"146","adidas Yeezy Boost 350 V2 Zebra",12,670,2017-10-16,"Monday"," October 16, 2017","Oct 2017"
"147","adidas Yeezy Boost 350 V2 Zebra",12.5,765,2017-10-16,"Monday"," October 16, 2017","Oct 2017"
"148","adidas Yeezy Boost 350 V2 Zebra",8,525,2017-10-16,"Monday"," October 16, 2017","Oct 2017"
"149","adidas Yeezy Boost 350 V2 Zebra",11,620,2017-10-16,"Monday"," October 16, 2017","Oct 2017"
"150","adidas Yeezy Boost 350 V2 Zebra",11,610,2017-10-16,"Monday"," October 16, 2017","Oct 2017"
"151","adidas Yeezy Boost 350 V2 Zebra",10,615,2017-10-16,"Monday"," October 16, 2017","Oct 2017"
"152","adidas Yeezy Boost 350 V2 Zebra",9,599,2017-10-16,"Monday"," October 16, 2017","Oct 2017"
"153","adidas Yeezy Boost 350 V2 Zebra",10,635,2017-10-16,"Monday"," October 16, 2017","Oct 2017"
"154","adidas Yeezy Boost 350 V2 Zebra",8.5,595,2017-10-16,"Monday"," October 16, 2017","Oct 2017"
"155","adidas Yeezy Boost 350 V2 Zebra",10,630,2017-10-16,"Monday"," October 16, 2017","Oct 2017"
"156","adidas Yeezy Boost 350 V2 Zebra",11,647,2017-10-16,"Monday"," October 16, 2017","Oct 2017"
"157","adidas Yeezy Boost 350 V2 Zebra",10,607,2017-10-16,"Monday"," October 16, 2017","Oct 2017"
"158","adidas Yeezy Boost 350 V2 Zebra",7.5,559,2017-10-16,"Monday"," October 16, 2017","Oct 2017"
"159","adidas Yeezy Boost 350 V2 Zebra",12.5,728,2017-10-16,"Monday"," October 16, 2017","Oct 2017"
"160","adidas Yeezy Boost 350 V2 Zebra",8.5,560,2017-10-16,"Monday"," October 16, 2017","Oct 2017"
"161","adidas Yeezy Boost 350 V2 Zebra",9.5,571,2017-10-16,"Monday"," October 16, 2017","Oct 2017"
"162","adidas Yeezy Boost 350 V2 Zebra",7.5,560,2017-10-16,"Monday"," October 16, 2017","Oct 2017"
"163","adidas Yeezy Boost 350 V2 Zebra",14,597,2017-10-16,"Monday"," October 16, 2017","Oct 2017"
"164","adidas Yeezy Boost 350 V2 Zebra",13,629,2017-10-16,"Monday"," October 16, 2017","Oct 2017"
"165","adidas Yeezy Boost 350 V2 Zebra",6,719,2017-10-16,"Monday"," October 16, 2017","Oct 2017"
"166","adidas Yeezy Boost 350 V2 Zebra",8.5,588,2017-10-16,"Monday"," October 16, 2017","Oct 2017"
"167","adidas Yeezy Boost 350 V2 Zebra",9,610,2017-10-16,"Monday"," October 16, 2017","Oct 2017"
"168","adidas Yeezy Boost 350 V2 Zebra",6,743,2017-10-16,"Monday"," October 16, 2017","Oct 2017"
"169","adidas Yeezy Boost 350 V2 Zebra",7.5,620,2017-10-16,"Monday"," October 16, 2017","Oct 2017"
"170","adidas Yeezy Boost 350 V2 Zebra",11.5,636,2017-10-16,"Monday"," October 16, 2017","Oct 2017"
"171","adidas Yeezy Boost 350 V2 Zebra",10,640,2017-10-16,"Monday"," October 16, 2017","Oct 2017"
"172","adidas Yeezy Boost 350 V2 Zebra",4,772,2017-10-16,"Monday"," October 16, 2017","Oct 2017"
"173","adidas Yeezy Boost 350 V2 Zebra",8,555,2017-10-16,"Monday"," October 16, 2017","Oct 2017"
"174","adidas Yeezy Boost 350 V2 Zebra",13,650,2017-10-16,"Monday"," October 16, 2017","Oct 2017"
