"","name","size","resellPrice","sellDate","day","date","sellMonth","model","color","retailPrice","releaseDate","releaseMonth","resellPercentage"
"69","adidas Yeezy Boost 350 V2 Zebra",7,600,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017","350 V2","multicolor",220,2017-02-25,"Feb 2017",1.72727272727273
"70","adidas Yeezy Boost 350 V2 Zebra",8,527,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017","350 V2","multicolor",220,2017-02-25,"Feb 2017",1.39545454545455
"71","adidas Yeezy Boost 350 V2 Zebra",6.5,620,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017","350 V2","multicolor",220,2017-02-25,"Feb 2017",1.81818181818182
"72","adidas Yeezy Boost 350 V2 Zebra",10,600,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017","350 V2","multicolor",220,2017-02-25,"Feb 2017",1.72727272727273
"73","adidas Yeezy Boost 350 V2 Zebra",10.5,581,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017","350 V2","multicolor",220,2017-02-25,"Feb 2017",1.64090909090909
"74","adidas Yeezy Boost 350 V2 Zebra",10,585,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017","350 V2","multicolor",220,2017-02-25,"Feb 2017",1.65909090909091
"75","adidas Yeezy Boost 350 V2 Zebra",9,566,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017","350 V2","multicolor",220,2017-02-25,"Feb 2017",1.57272727272727
"76","adidas Yeezy Boost 350 V2 Zebra",9.5,580,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017","350 V2","multicolor",220,2017-02-25,"Feb 2017",1.63636363636364
"77","adidas Yeezy Boost 350 V2 Zebra",14,570,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017","350 V2","multicolor",220,2017-02-25,"Feb 2017",1.59090909090909
"78","adidas Yeezy Boost 350 V2 Zebra",10.5,621,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017","350 V2","multicolor",220,2017-02-25,"Feb 2017",1.82272727272727
"79","adidas Yeezy Boost 350 V2 Zebra",11,620,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017","350 V2","multicolor",220,2017-02-25,"Feb 2017",1.81818181818182
"80","adidas Yeezy Boost 350 V2 Zebra",7.5,590,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017","350 V2","multicolor",220,2017-02-25,"Feb 2017",1.68181818181818
"81","adidas Yeezy Boost 350 V2 Zebra",11,609,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017","350 V2","multicolor",220,2017-02-25,"Feb 2017",1.76818181818182
"82","adidas Yeezy Boost 350 V2 Zebra",8,517,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017","350 V2","multicolor",220,2017-02-25,"Feb 2017",1.35
"83","adidas Yeezy Boost 350 V2 Zebra",13,700,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017","350 V2","multicolor",220,2017-02-25,"Feb 2017",2.18181818181818
"84","adidas Yeezy Boost 350 V2 Zebra",4,560,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017","350 V2","multicolor",220,2017-02-25,"Feb 2017",1.54545454545455
"85","adidas Yeezy Boost 350 V2 Zebra",8.5,561,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017","350 V2","multicolor",220,2017-02-25,"Feb 2017",1.55
